"姓名","統率","武力","智力","魅力","運勢","版本","政治","陸指","水指","體力"
"丁奉",NA,22,81,29,47,"三國志1",NA,NA,NA,81
"于禁",NA,72,20,25,28,"三國志1",NA,NA,NA,82
"公孫瓚",NA,70,67,89,28,"三國志1",NA,NA,NA,84
"太史慈",NA,97,47,84,34,"三國志1",NA,NA,NA,88
"孔融",NA,82,61,50,77,"三國志1",NA,NA,NA,84
"文聘",NA,84,22,64,83,"三國志1",NA,NA,NA,88
"文醜",NA,95,18,57,78,"三國志1",NA,NA,NA,95
"毛玠",NA,52,20,24,18,"三國志1",NA,NA,NA,82
"牛金",NA,89,15,47,55,"三國志1",NA,NA,NA,87
"王平",NA,68,48,22,46,"三國志1",NA,NA,NA,69
"王朗",NA,17,69,75,29,"三國志1",NA,NA,NA,65
"王累",NA,26,62,20,35,"三國志1",NA,NA,NA,63
"王粲",NA,19,87,26,47,"三國志1",NA,NA,NA,82
"王雙",NA,95,15,42,65,"三國志1",NA,NA,NA,93
"司馬昭",NA,80,85,85,100,"三國志1",NA,NA,NA,85
"司馬師",NA,88,75,89,97,"三國志1",NA,NA,NA,79
"司馬懿",NA,83,98,91,99,"三國志1",NA,NA,NA,88
"甘寧",NA,94,52,69,85,"三國志1",NA,NA,NA,87
"田豐",NA,62,82,46,23,"三國志1",NA,NA,NA,87
"伊籍",NA,18,86,28,75,"三國志1",NA,NA,NA,74
"全琮",NA,52,22,53,82,"三國志1",NA,NA,NA,73
"向寵",NA,85,39,83,96,"三國志1",NA,NA,NA,89
"成宜",NA,45,37,24,21,"三國志1",NA,NA,NA,82
"朱治",NA,45,42,21,35,"三國志1",NA,NA,NA,78
"朱桓",NA,78,54,50,48,"三國志1",NA,NA,NA,89
"朱褒",NA,72,18,46,39,"三國志1",NA,NA,NA,87
"朱儁",NA,69,58,60,69,"三國志1",NA,NA,NA,82
"朱靈",NA,75,39,61,79,"三國志1",NA,NA,NA,87
"吳班",NA,70,64,63,42,"三國志1",NA,NA,NA,85
"吳蘭",NA,81,44,73,57,"三國志1",NA,NA,NA,89
"吳懿",NA,79,66,90,50,"三國志1",NA,NA,NA,59
"呂公",NA,38,17,20,99,"三國志1",NA,NA,NA,89
"呂布",NA,100,21,86,24,"三國志1",NA,NA,NA,82
"呂虔",NA,73,25,35,36,"三國志1",NA,NA,NA,87
"呂凱",NA,21,68,36,81,"三國志1",NA,NA,NA,88
"呂翔",NA,73,26,61,69,"三國志1",NA,NA,NA,71
"呂蒙",NA,47,90,82,83,"三國志1",NA,NA,NA,79
"呂範",NA,31,77,26,92,"三國志1",NA,NA,NA,74
"呂曠",NA,81,23,36,87,"三國志1",NA,NA,NA,74
"宋憲",NA,59,36,60,28,"三國志1",NA,NA,NA,74
"宋謙",NA,66,30,72,15,"三國志1",NA,NA,NA,65
"李典",NA,49,38,71,33,"三國志1",NA,NA,NA,87
"李堪",NA,54,45,76,50,"三國志1",NA,NA,NA,74
"李肅",NA,58,26,17,51,"三國志1",NA,NA,NA,71
"李傕",NA,46,43,82,43,"三國志1",NA,NA,NA,74
"李儒",NA,29,91,33,44,"三國志1",NA,NA,NA,35
"李豐",NA,33,28,38,53,"三國志1",NA,NA,NA,88
"李嚴",NA,40,38,21,44,"三國志1",NA,NA,NA,53
"步騭",NA,44,73,48,90,"三國志1",NA,NA,NA,71
"沙摩柯",NA,89,14,56,45,"三國志1",NA,NA,NA,74
"辛毗",NA,74,35,78,40,"三國志1",NA,NA,NA,89
"邢道榮",NA,80,16,41,26,"三國志1",NA,NA,NA,74
"典韋",NA,96,28,32,19,"三國志1",NA,NA,NA,95
"周倉",NA,84,30,83,88,"三國志1",NA,NA,NA,89
"周泰",NA,86,53,64,79,"三國志1",NA,NA,NA,84
"周瑜",NA,56,97,94,25,"三國志1",NA,NA,NA,74
"孟達",NA,71,77,68,43,"三國志1",NA,NA,NA,82
"孟優",NA,83,14,42,41,"三國志1",NA,NA,NA,89
"孟獲",NA,93,16,50,69,"三國志1",NA,NA,NA,96
"法正",NA,44,87,71,34,"三國志1",NA,NA,NA,78
"沮授",NA,56,88,53,21,"三國志1",NA,NA,NA,85
"金旋",NA,37,55,44,48,"三國志1",NA,NA,NA,71
"侯成",NA,81,46,55,93,"三國志1",NA,NA,NA,89
"侯選",NA,77,51,68,70,"三國志1",NA,NA,NA,71
"姜維",NA,80,97,73,80,"三國志1",NA,NA,NA,89
"紀靈",NA,57,24,59,46,"三國志1",NA,NA,NA,82
"胡軫",NA,48,24,39,87,"三國志1",NA,NA,NA,82
"凌統",NA,68,55,63,56,"三國志1",NA,NA,NA,85
"夏侯尚",NA,76,46,54,37,"三國志1",NA,NA,NA,84
"夏侯惇",NA,82,64,79,67,"三國志1",NA,NA,NA,89
"夏侯淵",NA,92,60,74,37,"三國志1",NA,NA,NA,82
"夏侯楙",NA,58,35,59,56,"三國志1",NA,NA,NA,84
"夏侯德",NA,54,49,67,57,"三國志1",NA,NA,NA,73
"孫桓",NA,85,32,88,84,"三國志1",NA,NA,NA,88
"孫乾",NA,36,78,34,52,"三國志1",NA,NA,NA,79
"孫堅",NA,96,85,98,26,"三國志1",NA,NA,NA,37
"孫翊",NA,64,18,54,78,"三國志1",NA,NA,NA,76
"孫策",NA,98,89,99,17,"三國志1",NA,NA,NA,65
"孫瑜",NA,61,63,92,71,"三國志1",NA,NA,NA,81
"孫權",NA,93,94,99,99,"三國志1",NA,NA,NA,93
"徐晃",NA,91,56,65,88,"三國志1",NA,NA,NA,90
"徐庶",NA,37,96,81,95,"三國志1",NA,NA,NA,81
"徐盛",NA,86,49,56,91,"三國志1",NA,NA,NA,79
"徐榮",NA,39,34,75,80,"三國志1",NA,NA,NA,78
"荀攸",NA,27,89,48,45,"三國志1",NA,NA,NA,65
"荀彧",NA,24,96,37,22,"三國志1",NA,NA,NA,65
"袁尚",NA,87,63,98,61,"三國志1",NA,NA,NA,82
"袁胤",NA,25,63,92,50,"三國志1",NA,NA,NA,71
"袁紹",NA,82,54,98,86,"三國志1",NA,NA,NA,35
"袁術",NA,95,60,95,60,"三國志1",NA,NA,NA,89
"袁熙",NA,46,52,89,22,"三國志1",NA,NA,NA,73
"袁譚",NA,69,57,94,38,"三國志1",NA,NA,NA,76
"郝昭",NA,88,72,80,98,"三國志1",NA,NA,NA,88
"馬休",NA,55,51,77,23,"三國志1",NA,NA,NA,71
"馬良",NA,47,93,44,48,"三國志1",NA,NA,NA,51
"馬岱",NA,87,69,85,84,"三國志1",NA,NA,NA,90
"馬延",NA,43,40,62,63,"三國志1",NA,NA,NA,73
"馬玩",NA,58,27,45,54,"三國志1",NA,NA,NA,89
"馬超",NA,98,62,84,63,"三國志1",NA,NA,NA,89
"馬謖",NA,55,61,88,64,"三國志1",NA,NA,NA,88
"馬騰",NA,97,48,96,38,"三國志1",NA,NA,NA,95
"馬鐵",NA,68,56,82,26,"三國志1",NA,NA,NA,79
"高沛",NA,59,40,49,90,"三國志1",NA,NA,NA,79
"高定",NA,63,15,77,58,"三國志1",NA,NA,NA,82
"高覽",NA,49,31,40,92,"三國志1",NA,NA,NA,74
"張允",NA,62,71,41,81,"三國志1",NA,NA,NA,73
"張任",NA,92,66,83,59,"三國志1",NA,NA,NA,82
"張松",NA,36,91,81,27,"三國志1",NA,NA,NA,73
"張既",NA,55,60,49,82,"三國志1",NA,NA,NA,85
"張昭",NA,18,98,91,89,"三國志1",NA,NA,NA,76
"張苞",NA,97,30,42,62,"三國志1",NA,NA,NA,94
"張郃",NA,86,52,32,98,"三國志1",NA,NA,NA,94
"張飛",NA,99,32,33,36,"三國志1",NA,NA,NA,98
"張紘",NA,27,90,66,94,"三國志1",NA,NA,NA,65
"張衛",NA,75,35,22,86,"三國志1",NA,NA,NA,88
"張魯",NA,71,80,93,64,"三國志1",NA,NA,NA,74
"張勳",NA,63,17,72,80,"三國志1",NA,NA,NA,89
"張橫",NA,74,31,18,18,"三國志1",NA,NA,NA,69
"張遼",NA,93,86,74,98,"三國志1",NA,NA,NA,87
"張濟",NA,29,70,17,22,"三國志1",NA,NA,NA,45
"張繡",NA,76,50,90,74,"三國志1",NA,NA,NA,81
"張邈",NA,48,20,57,78,"三國志1",NA,NA,NA,82
"張顗",NA,49,44,24,51,"三國志1",NA,NA,NA,84
"曹仁",NA,56,64,87,59,"三國志1",NA,NA,NA,74
"曹丕",NA,92,74,97,92,"三國志1",NA,NA,NA,85
"曹休",NA,60,43,91,46,"三國志1",NA,NA,NA,88
"曹昂",NA,61,59,92,16,"三國志1",NA,NA,NA,61
"曹洪",NA,48,29,85,33,"三國志1",NA,NA,NA,76
"曹真",NA,79,78,90,75,"三國志1",NA,NA,NA,84
"曹純",NA,65,25,87,40,"三國志1",NA,NA,NA,82
"曹豹",NA,18,27,15,20,"三國志1",NA,NA,NA,45
"曹植",NA,42,92,97,30,"三國志1",NA,NA,NA,74
"曹操",NA,94,93,100,97,"三國志1",NA,NA,NA,88
"曹叡",NA,41,84,95,89,"三國志1",NA,NA,NA,81
"梁綱",NA,38,17,48,72,"三國志1",NA,NA,NA,85
"梁興",NA,73,23,17,25,"三國志1",NA,NA,NA,73
"許攸",NA,42,88,31,72,"三國志1",NA,NA,NA,71
"許靖",NA,26,79,51,88,"三國志1",NA,NA,NA,74
"許褚",NA,98,19,19,21,"三國志1",NA,NA,NA,98
"郭汜",NA,59,37,60,31,"三國志1",NA,NA,NA,63
"郭攸之",NA,36,67,70,29,"三國志1",NA,NA,NA,65
"郭淮",NA,50,48,45,76,"三國志1",NA,NA,NA,74
"郭嘉",NA,19,97,80,17,"三國志1",NA,NA,NA,41
